"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway","14/842","145/18870",0.00543415905184877,0.0427481622345588,0.0327944567901368,"TNFSF10/IL20RA/DAB2IP/PLEKHF1/CTSH/BBC3/S100A9/PYCARD/PRKCD/TNFRSF12A/SFRP1/FAS/BCL10/MYC",14
"GO:0031349","GO:0031349","positive regulation of defense response","34/842","480/18870",0.00550627146384299,0.0428582081181185,0.0328788790152029,"LTF/S100A14/CX3CL1/NPAS2/C2CD4B/DAB2IP/PTPRS/RBM47/PLA2G2A/LGR4/FOSL1/OSMR/IL6ST/TICAM1/LDLR/S100A9/PYCARD/CD40/CD47/MAPK13/C3/TRIM56/PLSCR1/HEXIM1/VAMP8/TIFA/BCL10/TSPAN6/PTGS2/WDFY1/IKBKB/AP1G1/GBP2/IRF1",34
"GO:0003230","GO:0003230","cardiac atrium development","6/842","37/18870",0.00551473996442709,0.0428582081181185,0.0328788790152029,"BMP2/NOTCH2/TGFB2/HEG1/NPHP3/BMPR2",6
"GO:0044319","GO:0044319","wound healing, spreading of cells","6/842","37/18870",0.00551473996442709,0.0428582081181185,0.0328788790152029,"CEACAM1/FERMT1/DDR1/HBEGF/RREB1/RHOC",6
"GO:0071276","GO:0071276","cellular response to cadmium ion","6/842","37/18870",0.00551473996442709,0.0428582081181185,0.0328788790152029,"EGFR/MT1X/MT1E/SLC39A8/MT1G/MT1M",6
"GO:0090505","GO:0090505","epiboly involved in wound healing","6/842","37/18870",0.00551473996442709,0.0428582081181185,0.0328788790152029,"CEACAM1/FERMT1/DDR1/HBEGF/RREB1/RHOC",6
"GO:0045599","GO:0045599","negative regulation of fat cell differentiation","8/842","61/18870",0.00551499656033499,0.0428582081181185,0.0328788790152029,"BMP2/YAP1/SMAD3/TRIB2/JDP2/SOD2/FOXO1/WWTR1",8
"GO:0060350","GO:0060350","endochondral bone morphogenesis","8/842","61/18870",0.00551499656033499,0.0428582081181185,0.0328788790152029,"COL27A1/RARG/SOX9/STC1/TGFBR2/RUNX2/CSGALNACT1/BMPR2",8
"GO:0090497","GO:0090497","mesenchymal cell migration","8/842","61/18870",0.00551499656033499,0.0428582081181185,0.0328788790152029,"EDN1/SEMA3C/SEMA4B/TPBG/SEMA3F/EFNB1/SEMA4A/LAMA5",8
"GO:0045123","GO:0045123","cellular extravasation","9/842","74/18870",0.00552981100434737,0.0429083216963656,0.0329173238860585,"CX3CL1/SELE/JAM2/CCL2/PLVAP/F11R/CD47/ICAM1/PECAM1",9
"GO:0006644","GO:0006644","phospholipid metabolic process","28/842","375/18870",0.00560090905635499,0.0433943543052036,0.0332901861228414,"LIPH/SGMS2/ITPKC/INPP1/CLN3/LPCAT4/OSBPL10/PLA2G2A/CDS1/SH3YL1/SERINC5/SLC44A4/LDLR/SLC27A1/PLPP3/CHP1/PRKCD/PLSCR1/LPCAT2/SOCS3/SOCS6/SRD5A3/PIK3CB/PIGA/PISD/CHPT1/SAMD8/SGMS1",28
"GO:0031345","GO:0031345","negative regulation of cell projection organization","17/842","192/18870",0.00563867465218053,0.0436210592624946,0.0334641039133934,"DKK1/TACSTD2/YAP1/SEMA3C/SEMA4B/PTPRS/CDH1/KANK1/SEMA3F/LIMK2/EFNA1/ITGA3/PRKCD/SEMA4A/EFNB2/HES1/DIP2B",17
"GO:0051962","GO:0051962","positive regulation of nervous system development","23/842","290/18870",0.00566412463119224,0.0437195699533818,0.0335396768603177,"FLRT3/EFNA5/CX3CL1/TGM2/BMP2/MME/CRABP2/CLCF1/TPBG/ROBO1/PLXNB1/NPTN/IL6ST/RGS14/PLXNB2/AGRN/DLG5/CLSTN3/SEMA4A/HES1/PRKCI/EEF2K/BMPR2",23
"GO:1901654","GO:1901654","response to ketone","18/842","208/18870",0.00566845662292823,0.0437195699533818,0.0335396768603177,"EDN1/EFNA5/CLDN1/ASS1/SCNN1A/YAP1/FOSL1/AQP1/DSG2/TGFB2/AHR/TGFBR3/CLDN4/FBXO32/FBP1/GAS6/SFRP1/SP1",18
"GO:0046651","GO:0046651","lymphocyte proliferation","24/842","307/18870",0.00570200570465386,0.0439122931819364,0.0336875254053993,"SCGB1A1/ERBB2/SDC4/CLCF1/TNFRSF21/SHB/PLA2G2A/TGFBR2/IL6ST/TICAM1/AHR/LGALS3/PYCARD/CD40/EFNB1/DLG5/PRKCD/CD74/BMI1/HES1/HLA-DRB1/IRF1/TNFRSF14/TWSG1",24
"GO:0007520","GO:0007520","myoblast fusion","7/842","49/18870",0.00575114748246615,0.0442243409858604,0.0339269143682766,"SCGB3A1/JAM2/DOCK5/PTGFRN/TANC1/CD9/DOCK1",7
"GO:0001710","GO:0001710","mesodermal cell fate commitment","4/842","17/18870",0.00588057549098573,0.0448831424006932,0.0344323170195875,"DKK1/EYA2/KLF4/BMPR1A",4
"GO:0002076","GO:0002076","osteoblast development","4/842","17/18870",0.00588057549098573,0.0448831424006932,0.0344323170195875,"ACHE/SMAD3/RUNX2/LRP5",4
"GO:0010544","GO:0010544","negative regulation of platelet activation","4/842","17/18870",0.00588057549098573,0.0448831424006932,0.0344323170195875,"CEACAM1/PRKCD/CD9/THBD",4
"GO:0031649","GO:0031649","heat generation","4/842","17/18870",0.00588057549098573,0.0448831424006932,0.0344323170195875,"PTGES/SLC27A1/ARRDC3/PTGS2",4
"GO:1902170","GO:1902170","cellular response to reactive nitrogen species","4/842","17/18870",0.00588057549098573,0.0448831424006932,0.0344323170195875,"AQP1/MAP3K5/STAT6/FOXO1",4
"GO:0030100","GO:0030100","regulation of endocytosis","23/842","291/18870",0.00589960397655915,0.0449614692359166,0.0344924058252571,"DKK1/ITGA2/PROM2/TGM2/SELE/RAB4B/STON1/CLN3/ANXA2/CLU/CCL2/EHD4/INSR/LGALS3/PYCARD/CD47/C3/PLSCR1/GAS6/PIK3CB/EFNB2/LDLRAP1/EEF2K",23
"GO:0003002","GO:0003002","regionalization","31/842","430/18870",0.00610356431706586,0.046446856650194,0.0356319278731722,"FGFR2/EDN1/DKK1/BMP2/IFT172/SEMA3C/RARG/PBX1/SMAD3/ROBO1/WLS/TGFBR2/IRX3/NOTCH2/ETS2/SEMA3F/MDFI/ADGRG1/LRP5/MKKS/SPRY1/C3/BHLHE41/SFRP1/BMI1/LAMA5/HES1/NPHP3/ABI1/BMPR1A/BMPR2",31
"GO:0033157","GO:0033157","regulation of intracellular protein transport","19/842","226/18870",0.00619974453541614,0.0467836954598448,0.0358903353744753,"FERMT1/SFN/ERBB2/TMEM30B/SORL1/PTPN14/CDH1/SMAD3/ZDHHC2/BBC3/ANK3/CHP1/PRKCD/ZC3H12A/OAZ3/GAS6/SP100/PTGS2/STOM",19
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","19/842","226/18870",0.00619974453541614,0.0467836954598448,0.0358903353744753,"LTF/CXCL6/CXCL1/ASS1/CX3CL1/DAB2IP/CXCL2/CXCL8/ADAM9/CCL2/TICAM1/PYCARD/CD40/CXCL3/GBP3/ZC3H12A/BCL10/CASP7/GBP2",19
"GO:0006972","GO:0006972","hyperosmotic response","5/842","27/18870",0.00622472569550829,0.0467836954598448,0.0358903353744753,"AQP1/YBX3/SLC12A2/FBP1/SLC2A1",5
"GO:0042133","GO:0042133","neurotransmitter metabolic process","5/842","27/18870",0.00622472569550829,0.0467836954598448,0.0358903353744753,"ACHE/HNMT/CLN3/SLC44A4/COMT",5
"GO:0050996","GO:0050996","positive regulation of lipid catabolic process","5/842","27/18870",0.00622472569550829,0.0467836954598448,0.0358903353744753,"IRS1/PLIN5/PRKCD/PPARA/PNPLA2",5
"GO:0090330","GO:0090330","regulation of platelet aggregation","5/842","27/18870",0.00622472569550829,0.0467836954598448,0.0358903353744753,"CEACAM1/IL6ST/F11R/PRKCD/CD9",5
"GO:0099560","GO:0099560","synaptic membrane adhesion","5/842","27/18870",0.00622472569550829,0.0467836954598448,0.0358903353744753,"FLRT3/EFNA5/PTPRS/PTPRF/ITGA3",5
"GO:0150146","GO:0150146","cell junction disassembly","5/842","27/18870",0.00622472569550829,0.0467836954598448,0.0358903353744753,"DKK1/CX3CL1/STON1/SNAI2/C3",5
"GO:0046849","GO:0046849","bone remodeling","10/842","89/18870",0.00624223291182093,0.0467836954598448,0.0358903353744753,"EPHA2/LEPR/IL20RA/DOCK5/LGR4/NOTCH2/GJA1/LRP5/RAB3D/SFRP1",10
"GO:0048145","GO:0048145","regulation of fibroblast proliferation","10/842","89/18870",0.00624223291182093,0.0467836954598448,0.0358903353744753,"EGFR/DAB2IP/AQP1/SOD2/CDK6/GAS6/SFRP1/CD74/BMI1/MYC",10
"GO:0045732","GO:0045732","positive regulation of protein catabolic process","18/842","210/18870",0.00624816365568213,0.0467836954598448,0.0358903353744753,"ECSCR/EGLN2/SGSM3/SOX9/DAB2IP/SORL1/TRIB2/RNF144B/ADAM9/PLK2/CLU/SH3D19/LDLR/FOXO1/OAZ3/RNF217/IER3/RILP",18
"GO:0003180","GO:0003180","aortic valve morphogenesis","6/842","38/18870",0.0063067428938271,0.0470164016023825,0.0360688570029463,"GATA3/SOX9/SNAI2/ROBO1/TGFBR2/EFNA1",6
"GO:0042401","GO:0042401","biogenic amine biosynthetic process","6/842","38/18870",0.0063067428938271,0.0470164016023825,0.0360688570029463,"GATA3/ALDH2/TGFB2/SMOX/OAZ3/GCH1",6
"GO:0090504","GO:0090504","epiboly","6/842","38/18870",0.0063067428938271,0.0470164016023825,0.0360688570029463,"CEACAM1/FERMT1/DDR1/HBEGF/RREB1/RHOC",6
"GO:0060047","GO:0060047","heart contraction","20/842","243/18870",0.00638702673538648,0.0475458056978189,0.0364749918827815,"EDN1/GPX1/ADM/PPP1R13L/STC1/CXADR/GPD1L/DSG2/IRX3/ATP1B1/GJA1/TGFB2/HBEGF/THRB/EPAS1/ZC3H12A/RPS6KA2/ATP1A1/GCH1/CAMK2D",20
"GO:0051047","GO:0051047","positive regulation of secretion","24/842","310/18870",0.00641336958021308,0.0476727138795839,0.0365723501004371,"EDN1/ACHE/BMP2/EXPH5/PTGES/SDC4/RAB27B/KCNN4/ANXA2/AQP1/CADPS2/WLS/ADAM9/TCF7L2/TGFB2/TM7SF3/RGCC/SLC12A2/VAMP8/RAB3D/SDC1/HLA-DRB1/FRMD4A/AP1G1",24
"GO:0019730","GO:0019730","antimicrobial humoral response","13/842","133/18870",0.00653733900147782,0.0484537741886991,0.0371715442463099,"LTF/DEFB1/PI3/CXCL6/SLPI/WFDC2/CXCL1/CXCL2/CXCL8/IGHA1/S100A9/BCL3/CXCL3",13
"GO:0030168","GO:0030168","platelet activation","13/842","133/18870",0.00653733900147782,0.0484537741886991,0.0371715442463099,"CEACAM1/HBB/IL6ST/RAP2B/F11R/VWF/CD40/PRKCD/PLSCR1/CD9/FZD6/THBD/PIK3CB",13
"GO:0051091","GO:0051091","positive regulation of DNA-binding transcription factor activity","20/842","244/18870",0.00667557213881944,0.0492912404589215,0.037814010494597,"LTF/ANXA3/EDN1/CX3CL1/BMP2/RIPK4/SMAD3/CRTC2/CLU/TRIM38/TRIM22/TICAM1/S100A9/PLPP3/PYCARD/CD40/RGCC/BCL10/PRKCI/IKBKB",20
"GO:0019218","GO:0019218","regulation of steroid metabolic process","11/842","104/18870",0.00667916009338086,0.0492912404589215,0.037814010494597,"PDE8B/BMP2/EPHX2/SNAI2/ADM/H6PD/LDLR/RORC/ERLIN1/ATP1A1/LDLRAP1",11
"GO:0090100","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","11/842","104/18870",0.00667916009338086,0.0492912404589215,0.037814010494597,"FERMT1/BMP2/SLC2A10/TGFBR2/NOTCH2/TGFBR3/HES1/CDKN1C/BMPR1A/BMPR2/TWSG1",11
"GO:0000768","GO:0000768","syncytium formation by plasma membrane fusion","8/842","63/18870",0.0067107339914948,0.0493113963357834,0.0378294731717804,"SCGB3A1/JAM2/DOCK5/PTGFRN/ADAM9/TANC1/CD9/DOCK1",8
"GO:0051965","GO:0051965","positive regulation of synapse assembly","8/842","63/18870",0.0067107339914948,0.0493113963357834,0.0378294731717804,"FLRT3/EFNA5/TPBG/AGRN/DLG5/CLSTN3/SEMA4A/EEF2K",8
"GO:0140253","GO:0140253","cell-cell fusion","8/842","63/18870",0.0067107339914948,0.0493113963357834,0.0378294731717804,"SCGB3A1/JAM2/DOCK5/PTGFRN/ADAM9/TANC1/CD9/DOCK1",8
"GO:0005996","GO:0005996","monosaccharide metabolic process","21/842","261/18870",0.00680399437573398,0.0499045791974441,0.0382845362366822,"LEPR/IGFBP3/FGGY/GSTO2/ALDOA/PER2/IRS1/CRTC2/TCF7L2/INSR/H6PD/LRP5/FOXO1/B4GALT1/RORC/PPARA/FBP1/CRY1/FUCA1/SLC2A1/PGM2L1",21
"GO:0051051","GO:0051051","negative regulation of transport","33/842","469/18870",0.00681091936794908,0.0499045791974441,0.0382845362366822,"FAM3D/EDN1/GABRE/PROM2/CEACAM1/PDE8B/FERMT1/ERBB3/IRS1/STC1/ANXA2/GJA1/ANK3/LGALS3/CAB39/GRB10/ATP9A/CD47/CHP1/FOXO1/PLSCR1/OAZ3/VAMP8/RAB11FIP1/SFRP1/CD74/CRY1/NDFIP2/HES1/SP100/FRMD4A/PTGS2/CAMK2D",33
"GO:0042742","GO:0042742","defense response to bacterium","25/842","330/18870",0.00716021186742168,0.052254349860396,0.0400871740214385,"LTF/DEFB1/PI3/LCN2/ANXA3/S100A14/CXCL6/SLPI/EPHA2/WFDC2/PLA2G2A/AQP1/IGHA1/NOTCH2/GBP1/S100A9/PYCARD/BCL3/PRKCD/GBP3/RNASE1/CASP7/TAB2/GBP2/TNFRSF14",25
"GO:0046323","GO:0046323","glucose import","9/842","77/18870",0.0071742967053519,0.052254349860396,0.0400871740214385,"RAB4B/OCLN/IRS1/INSR/SLC27A1/GRB10/SLC2A1/PRKCI/ZDHHC7",9
"GO:0009309","GO:0009309","amine biosynthetic process","6/842","39/18870",0.0071782601360202,0.052254349860396,0.0400871740214385,"GATA3/ALDH2/TGFB2/SMOX/OAZ3/GCH1",6
"GO:0097242","GO:0097242","amyloid-beta clearance","6/842","39/18870",0.0071782601360202,0.052254349860396,0.0400871740214385,"MME/CLU/INSR/LDLR/IFNGR1/C3",6
"GO:0006869","GO:0006869","lipid transport","32/842","453/18870",0.00721635459471975,0.052254349860396,0.0400871740214385,"EDN1/CEACAM1/PTGES/CRABP2/TMEM30B/SLCO2A1/VPS13D/CLN3/KCNN4/OSBPL10/PLA2G2A/ACSL5/ANXA2/LIMA1/CLU/APOL3/LDLR/SLC27A1/ATP9A/APOL6/PRKCD/APOL1/NPC2/PPARA/PLSCR1/CRY1/TMEM41B/SLC2A1/UGCG/PTGS2/LDLRAP1/LRP10",32
"GO:0010975","GO:0010975","regulation of neuron projection development","32/842","453/18870",0.00721635459471975,0.052254349860396,0.0400871740214385,"EFNA5/DKK1/CX3CL1/GATA3/ITGA6/CRABP2/SEMA3C/SEMA4B/DAB2IP/PTPRS/CDH1/ROBO1/PTPRF/KLF4/PLXNB1/NPTN/KANK1/SEMA3F/DDR1/S100A9/EFNA1/PLXNB2/ITGA3/SEMA4A/SFRP1/EFNB2/HES1/PRKCI/ENC1/DIP2B/EEF2K/BMPR2",32
"GO:0046631","GO:0046631","alpha-beta T cell activation","16/842","181/18870",0.00721895081857436,0.052254349860396,0.0400871740214385,"GATA3/SHB/TGFBR2/STAT6/ASCL2/BCL3/RORC/ZC3H12A/SOCS3/SEMA4A/HLA-DRA/HLA-DRB1/TMEM98/IRF1/TNFRSF14/TWSG1",16
"GO:0071478","GO:0071478","cellular response to radiation","16/842","181/18870",0.00721895081857436,0.052254349860396,0.0400871740214385,"ITGB6/GATA3/PTPRK/MME/YAP1/SNAI2/AQP1/TNKS1BP1/MAPK13/PRKCD/SFRP1/CRY1/NET1/DDB2/MYC/NMT2",16
"GO:0010042","GO:0010042","response to manganese ion","4/842","18/18870",0.00729754137503279,0.052254349860396,0.0400871740214385,"ADAM9/D2HGDH/SOD2/PTGS2",4
"GO:0030011","GO:0030011","maintenance of cell polarity","4/842","18/18870",0.00729754137503279,0.052254349860396,0.0400871740214385,"PDLIM1/ATN1/DLG5/DST",4
"GO:0038128","GO:0038128","ERBB2 signaling pathway","4/842","18/18870",0.00729754137503279,0.052254349860396,0.0400871740214385,"EGFR/ERBB3/ERBB2/HBEGF",4
"GO:0042402","GO:0042402","cellular biogenic amine catabolic process","4/842","18/18870",0.00729754137503279,0.052254349860396,0.0400871740214385,"HNMT/ALDH7A1/SMOX/COMT",4
"GO:0042481","GO:0042481","regulation of odontogenesis","4/842","18/18870",0.00729754137503279,0.052254349860396,0.0400871740214385,"EDN1/BMP2/CD34/RUNX2",4
"GO:0048486","GO:0048486","parasympathetic nervous system development","4/842","18/18870",0.00729754137503279,0.052254349860396,0.0400871740214385,"SEMA3F/TFAP2A/NAV2/HES1",4
"GO:0071243","GO:0071243","cellular response to arsenic-containing substance","4/842","18/18870",0.00729754137503279,0.052254349860396,0.0400871740214385,"GSTO2/CPEB2/MAPK13/ZC3H12A",4
"GO:0072189","GO:0072189","ureter development","4/842","18/18870",0.00729754137503279,0.052254349860396,0.0400871740214385,"GATA3/SOX9/NFIA/NPHP3",4
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","5/842","28/18870",0.00730480968023083,0.052254349860396,0.0400871740214385,"C2CD4B/OSMR/IL6ST/C3/PTGS2",5
"GO:0045921","GO:0045921","positive regulation of exocytosis","9/842","78/18870",0.00779811925326634,0.0557055064763274,0.0427347452993837,"EXPH5/SDC4/RAB27B/ANXA2/CADPS2/VAMP8/RAB3D/SDC1/AP1G1",9
"GO:0071887","GO:0071887","leukocyte apoptotic process","12/842","121/18870",0.00785309599533447,0.0560202077330605,0.0429761698712543,"TNFRSF21/ST6GAL1/EBF4/LGALS3/EFNA1/BCL3/GAS6/CD74/FAS/BCL10/PIK3CB/CASP7",12
"GO:0048009","GO:0048009","insulin-like growth factor receptor signaling pathway","7/842","52/18870",0.00798493731428213,0.0566455649861038,0.0434559156741452,"CDH3/BMP2/IGFBP3/CRIM1/IRS1/GRB10/IGFBP6",7
"GO:0060324","GO:0060324","face development","7/842","52/18870",0.00798493731428213,0.0566455649861038,0.0434559156741452,"DKK1/CLDN5/RARG/ALDH1A3/MKKS/GRHL2/PLEKHA1",7
"GO:0060688","GO:0060688","regulation of morphogenesis of a branching structure","7/842","52/18870",0.00798493731428213,0.0566455649861038,0.0434559156741452,"FGFR2/NTN4/TACSTD2/SOX9/SNAI2/LGR4/SFRP1",7
"GO:1904707","GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation","7/842","52/18870",0.00798493731428213,0.0566455649861038,0.0434559156741452,"FGFR2/EDN1/CALCRL/MAP3K5/GJA1/BMPR1A/LDLRAP1",7
"GO:0071216","GO:0071216","cellular response to biotic stimulus","21/842","265/18870",0.00803754641151809,0.0569400214705474,0.0436818093722806,"LTF/CXCL6/CXCL1/ASS1/CX3CL1/DAB2IP/CXCL2/CXCL8/ADAM9/NOTCH2/CCL2/TICAM1/AHR/PYCARD/CD40/CXCL3/GBP3/ZC3H12A/BCL10/CASP7/GBP2",21
"GO:0045668","GO:0045668","negative regulation of osteoblast differentiation","8/842","65/18870",0.00809279194056934,0.0570948141171666,0.0438005592903036,"CRIM1/SOX9/SMAD3/LRP5/CDK6/SFRP1/TOB1/TWSG1",8
"GO:0050435","GO:0050435","amyloid-beta metabolic process","8/842","65/18870",0.00809279194056934,0.0570948141171666,0.0438005592903036,"MME/SORL1/BACE2/CLU/GSAP/EFNA1/IFNGR1/SP1",8
"GO:1905330","GO:1905330","regulation of morphogenesis of an epithelium","8/842","65/18870",0.00809279194056934,0.0570948141171666,0.0438005592903036,"NTN4/TACSTD2/GATA3/SOX9/SNAI2/LGR4/GJA1/SFRP1",8
"GO:0048144","GO:0048144","fibroblast proliferation","11/842","107/18870",0.00823239110870722,0.0579999093359332,0.0444949074094095,"EGFR/GPX1/DAB2IP/AQP1/SOD2/CDK6/GAS6/SFRP1/CD74/BMI1/MYC",11
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","15/842","168/18870",0.00833950293653411,0.0580162192815005,0.044507419662035,"EFNA5/ERBB3/CLCF1/IL6ST/EHD4/HBEGF/PLPP3/CD40/EFNA1/CD74/HES1/ABI1/PECAM1/YES1/TNFRSF14",15
"GO:0015911","GO:0015911","long-chain fatty acid import across plasma membrane","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"ACSL5/SLC27A1/SLC2A1",3
"GO:0032353","GO:0032353","negative regulation of hormone biosynthetic process","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"PDE8B/BMP2/ATP1A1",3
"GO:0033210","GO:0033210","leptin-mediated signaling pathway","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"LEPR/MKKS/UGCG",3
"GO:0033212","GO:0033212","iron import into cell","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"STEAP4/CYBRD1/SLC39A8",3
"GO:0035332","GO:0035332","positive regulation of hippo signaling","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"FRMD6/DLG5/ARRDC3",3
"GO:0042135","GO:0042135","neurotransmitter catabolic process","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"ACHE/HNMT/COMT",3
"GO:0045657","GO:0045657","positive regulation of monocyte differentiation","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"ZFP36L1/CD74/HLA-DRB1",3
"GO:0046689","GO:0046689","response to mercury ion","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"AQP1/SLC39A8/ALAD",3
"GO:0048865","GO:0048865","stem cell fate commitment","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"EDN1/SOX9/SFRP1",3
"GO:0060502","GO:0060502","epithelial cell proliferation involved in lung morphogenesis","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"FGFR2/SOX9/NFIB",3
"GO:0090331","GO:0090331","negative regulation of platelet aggregation","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"CEACAM1/PRKCD/CD9",3
"GO:2000425","GO:2000425","regulation of apoptotic cell clearance","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"TGM2/CCL2/C3",3
"GO:2000826","GO:2000826","regulation of heart morphogenesis","3/842","10/18870",0.00839306584263469,0.0580162192815005,0.044507419662035,"DKK1/BMP2/ROBO1",3
"GO:0031016","GO:0031016","pancreas development","9/842","79/18870",0.00846242311567257,0.0583453340807857,0.0447599016519024,"MET/MEIS2/SOX9/WLS/TCF7L2/INSR/CDK6/HES1/NPHP3",9
"GO:0001773","GO:0001773","myeloid dendritic cell activation","5/842","29/18870",0.00850893154463398,0.0583453340807857,0.0447599016519024,"ITGB6/ITGB8/TGFBR2/NOTCH2/PYCARD",5
"GO:0003209","GO:0003209","cardiac atrium morphogenesis","5/842","29/18870",0.00850893154463398,0.0583453340807857,0.0447599016519024,"BMP2/NOTCH2/TGFB2/HEG1/BMPR2",5
"GO:0003401","GO:0003401","axis elongation","5/842","29/18870",0.00850893154463398,0.0583453340807857,0.0447599016519024,"FGFR2/YAP1/SOX9/SPRY1/SFRP1",5
"GO:0060037","GO:0060037","pharyngeal system development","5/842","29/18870",0.00850893154463398,0.0583453340807857,0.0447599016519024,"EDN1/GATA3/TGFB2/HES1/BMPR1A",5
"GO:0072012","GO:0072012","glomerulus vasculature development","5/842","29/18870",0.00850893154463398,0.0583453340807857,0.0447599016519024,"CD34/AQP1/NOTCH2/HES1/PECAM1",5
"GO:0048146","GO:0048146","positive regulation of fibroblast proliferation","7/842","53/18870",0.00885497473539232,0.060637069983748,0.0465180177934039,"EGFR/AQP1/CDK6/GAS6/CD74/BMI1/MYC",7
"GO:0006684","GO:0006684","sphingomyelin metabolic process","4/842","19/18870",0.00892231689605277,0.0606930548539187,0.0465609668538954,"SGMS2/PRKCD/SAMD8/SGMS1",4
"GO:0035821","GO:0035821","modulation of process of another organism","4/842","19/18870",0.00892231689605277,0.0606930548539187,0.0465609668538954,"CXCL6/SLPI/S100A9/PPARA",4
"GO:0051797","GO:0051797","regulation of hair follicle development","4/842","19/18870",0.00892231689605277,0.0606930548539187,0.0465609668538954,"KRT17/CDH3/FERMT1/TGFB2",4
"GO:0060039","GO:0060039","pericardium development","4/842","19/18870",0.00892231689605277,0.0606930548539187,0.0465609668538954,"FLRT3/BMP2/SMAD3/HEG1",4
"GO:0060602","GO:0060602","branch elongation of an epithelium","4/842","19/18870",0.00892231689605277,0.0606930548539187,0.0465609668538954,"FGFR2/YAP1/SOX9/SPRY1",4
"GO:0019915","GO:0019915","lipid storage","10/842","94/18870",0.00910634368709251,0.0616754041172854,0.0473145807822214,"CDS1/PLIN5/C3/NPC2/PPARA/ZC3H12A/CRY1/SMIM22/PISD/PNPLA2",10
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","10/842","94/18870",0.00910634368709251,0.0616754041172854,0.0473145807822214,"KRT5/KRT15/KRT13/KRT14/KRT7/KRT17/KRT23/KRT19/PPL/DST",10
"GO:0008064","GO:0008064","regulation of actin polymerization or depolymerization","14/842","154/18870",0.00911482868412991,0.0616754041172854,0.0473145807822214,"CDC42EP5/SSH3/ADD3/LIMA1/KANK1/MKKS/PYCARD/CDC42EP4/CDC42EP1/PRKCD/SWAP70/TRIOBP/CTTN/PLEKHG2",14
"GO:0034614","GO:0034614","cellular response to reactive oxygen species","14/842","154/18870",0.00911482868412991,0.0616754041172854,0.0473145807822214,"EDN1/MET/EGFR/PTPRK/AQP1/MAP3K5/PXN/STAT6/SOD2/MAPK13/PRKCD/NET1/PLEKHA1/GCH1",14
"GO:0031952","GO:0031952","regulation of protein autophosphorylation","6/842","41/18870",0.00917686160103573,0.0620133374857869,0.0475738279795736,"RAD50/RAP2B/TNKS1BP1/ERRFI1/CHP1/EEF2K",6
"GO:0050728","GO:0050728","negative regulation of inflammatory response","17/842","202/18870",0.00920777093935936,0.0621403383525975,0.0476712573010045,"CXCL17/CX3CL1/GATA3/NT5E/GPX1/SMAD3/PLK2/KLF4/AHR/LDLR/SLC39A8/PRKCD/PPARA/SOCS3/HLA-DRB1/YES1/IER3",17
"GO:0007009","GO:0007009","plasma membrane organization","15/842","170/18870",0.00925352629856533,0.062367064895324,0.0478451916509263,"MYOF/DMKN/CLN3/ANXA2/CAV2/CLU/TGFB2/ANK3/S100A9/PRKCD/PLSCR1/CD9/TMEM41B/CASP7/UGCG",15
"GO:0008277","GO:0008277","regulation of G protein-coupled receptor signaling pathway","13/842","139/18870",0.00935730112562697,0.0629011762429106,0.0482549377217268,"EDN1/MET/RAMP3/ADM/CXCL8/RGS12/RGS14/RAMP2/C3/CRY1/ZDHHC7/ARRDC3/NMT2",13
"GO:0035270","GO:0035270","endocrine system development","13/842","139/18870",0.00935730112562697,0.0629011762429106,0.0482549377217268,"EDN1/GATA3/BMP2/PBX1/SOX9/PITX1/CDH1/SMAD3/INSR/CDK6/HES1/CDKN1C/BMPR1A",13
"GO:0010001","GO:0010001","glial cell differentiation","20/842","252/18870",0.00938779483444923,0.0630235598244635,0.0483488248707237,"ADGRG6/ITGB4/ERBB3/BMP2/ERBB2/CLCF1/TNFRSF21/SOX9/NFIA/NFIB/PHGDH/CLU/IL6ST/LDLR/S100A9/PLPP3/IFNGR1/CDK6/HES1/TMEM98",20
