"CpG","sample_id","Beta_value","sample_type","group","chr","pos","UCSC_RefGene_Name","UCSC_RefGene_Group","Position","Gene_Region","Label.x","Label.y"
"cg27056119","TCGA-EJ-7331-01",0.488,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A9LY-01",0.3273,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6494-01",0.3201,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-M7-A71Y-01",0.2079,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-FC-A66V-01",0.0313,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7793-01",0.5405,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A8FS-01",0.7243,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XK-AAJU-01",0.0395,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-8266-01",0.4647,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8HL-01",0.6355,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VN-A88I-01",0.1775,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HI-7169-01",0.4945,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5753-01",0.6966,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A67K-01",0.502,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-QU-A6IM-01",0.5035,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A9TE-01",0.507,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7115-01",0.5387,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7745-11",0.0132,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5531-01",0.2885,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8SH-01",0.5416,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6362-01",0.7344,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-8258-01",0.2881,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5530-01",0.6346,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VN-A88M-01",0.661,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7782-01",0.5901,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8SF-01",0.5027,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A6E2-01",0.7957,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5792-01",0.4423,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A6G1-01",0.1733,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A6M7-01",0.6975,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VP-A872-01",0.4546,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A8ML-01",0.503,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7744-01",0.6888,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6347-01",0.3122,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A46I-01",0.4642,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XK-AAJ3-01",0.6439,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A8CY-01",0.4615,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A6E0-01",0.6637,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XK-AAK1-01",0.6517,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XK-AAIW-01",0.6813,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-8260-01",0.2678,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7737-11",0.0505,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7786-11",0.2335,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7740-01",0.29335,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-TP-A8TV-01",0.8844,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-FC-A6HD-01",0.7396,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-8472-01",0.7497,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5745-01",0.4746,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5508-01",0.3766,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A7NH-01",0.3734,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A7B2-01",0.2301,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5740-01",0.5171,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A9WH-01",0.5561,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-FC-A8O0-01",0.0484,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J9-A52C-01",0.2907,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-FC-7708-01",0.3503,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7742-11",0.2272,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6351-11",0.3041,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A7AW-01",0.5464,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-7509-01",0.5692,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A67R-01",0.4469,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-WW-A8ZI-01",0.8142,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A8IJ-01",0.5381,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A83N-01",0.6077,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A6AN-01",0.6046,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6348-11",0.1939,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5499-01",0.3408,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6367-11",0.0219,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-QU-A6IL-01",0.7933,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5738-01",0.4191,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9ZI-01",0.3696,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5748-01",0.5624,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8SQ-01",0.5718,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-7522-01",0.4506,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A6AP-01",0.4137,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7785-11",0.1362,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A7B4-01",0.6399,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A83J-01",0.4851,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A8MU-01",0.4022,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5510-01",0.2922,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7327-11",0.445,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5746-01",0.2903,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9Z7-01",0.401,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-M7-A725-01",0.7238,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6384-11",0.1618,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XJ-A9DI-01",0.098,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A67N-01",0.634,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XJ-A83G-01",0.6557,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A8QZ-01",0.2704,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-TK-A8OK-01",0.4094,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VP-A876-01",0.5441,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A6E5-01",0.699,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-X4-A8KQ-01",0.3548,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A8IL-01",0.4994,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7820-01",0.4412,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5739-01",0.5573,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7750-01",0.345,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A9WX-01",0.2292,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5518-01",0.4602,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A9NI-01",0.5919,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A9WY-01",0.318,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5763-11",0.0928,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5515-01",0.1411,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A8IH-01",0.5367,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VP-A87K-01",0.7897,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A6HY-01",0.2585,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7211-11",0.0133,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A632-01",0.3719,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6496-01",0.6797,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A7NM-01",0.4636,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A9L6-01",0.5422,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-2A-A8VV-01",0.6884,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VP-A87E-01",0.4514,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5764-01",0.4692,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5525-01",0.7755,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5772-11",0.0831,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A59Z-01",0.8142,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9ZR-01",0.3216,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A6RC-01",0.506,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7792-01",0.2968,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A9TH-01",0.5043,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-M7-A723-01",0.5257,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7789-11",0.0558,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7752-01",0.7952,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A65J-01",0.4877,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A8WV-01",0.0226,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-2A-A8VX-01",0.874,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9OT-01",0.5913,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KC-A7FA-01",0.3158,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
