"CpG","sample_id","Beta_value"
"cg08542865","TCGA-HC-7210-01",0.5554
"cg08542865","TCGA-HC-7211-01",0.6408
"cg08542865","TCGA-HC-7212-01",0.7627
"cg08542865","TCGA-HC-7213-01",0.747
"cg08542865","TCGA-HC-7230-01",0.8425
"cg08542865","TCGA-HC-7231-01",0.695
"cg08542865","TCGA-HC-7232-01",0.6141
"cg08542865","TCGA-HC-7233-01",0.6718
"cg08542865","TCGA-HC-7736-01",0.6393
"cg08542865","TCGA-HC-7737-01",0.5016
"cg08542865","TCGA-HC-7738-01",0.72
"cg08542865","TCGA-HC-7740-01",0.4046
"cg08542865","TCGA-HC-7742-01",0.2283
"cg08542865","TCGA-HC-7744-01",0.7961
"cg08542865","TCGA-HC-7745-01",0.4633
"cg08542865","TCGA-HC-7747-01",0.2304
"cg08542865","TCGA-HC-7748-01",0.5934
"cg08542865","TCGA-HC-7749-01",0.6694
"cg08542865","TCGA-HC-7750-01",0.4758
"cg08542865","TCGA-HC-7752-01",0.8805
"cg08542865","TCGA-HC-7817-01",0.3564
"cg08542865","TCGA-HC-7818-01",0.6802
"cg08542865","TCGA-HC-7819-01",0.7949
"cg08542865","TCGA-HC-7820-01",0.5934
"cg08542865","TCGA-HC-7821-01",0.7861
"cg08542865","TCGA-HC-8213-01",0.8747
"cg08542865","TCGA-HC-8216-01",0.6808
"cg08542865","TCGA-HC-8256-01",0.7368
"cg08542865","TCGA-HC-8257-01",0.6583
"cg08542865","TCGA-HC-8258-01",0.4243
"cg08542865","TCGA-HC-8259-01",0.701
"cg08542865","TCGA-HC-8260-01",0.3754
"cg08542865","TCGA-HC-8261-01",0.65475
"cg08542865","TCGA-HC-8262-01",0.7426
"cg08542865","TCGA-HC-8264-01",0.737
"cg08542865","TCGA-HC-8265-01",0.71165
"cg08542865","TCGA-HC-8266-01",0.5733
"cg08542865","TCGA-HC-A48F-01",0.9159
"cg08542865","TCGA-HC-A4ZV-01",0.6912
"cg08542865","TCGA-HC-A631-01",0.9418
"cg08542865","TCGA-HC-A632-01",0.5319
"cg08542865","TCGA-HC-A6AL-01",0.7172
"cg08542865","TCGA-HC-A6AN-01",0.7432
"cg08542865","TCGA-HC-A6AO-01",0.827
"cg08542865","TCGA-HC-A6AP-01",0.5563
"cg08542865","TCGA-HC-A6AQ-01",0.6296
"cg08542865","TCGA-HC-A6AS-01",0.5862
"cg08542865","TCGA-HC-A6HX-01",0.2908
"cg08542865","TCGA-HC-A6HY-01",0.4453
"cg08542865","TCGA-HC-A76W-01",0.5776
"cg08542865","TCGA-HC-A76X-01",0.8526
"cg08542865","TCGA-HC-A8CY-01",0.4462
"cg08542865","TCGA-HC-A8D0-01",0.3639
"cg08542865","TCGA-HC-A8D1-01",0.3525
"cg08542865","TCGA-HC-A9TE-01",0.6642
"cg08542865","TCGA-HC-A9TH-01",0.6885
"cg08542865","TCGA-HI-7168-01",0.6462
"cg08542865","TCGA-HI-7169-01",0.6656
"cg08542865","TCGA-HI-7170-01",0.6039
"cg08542865","TCGA-HI-7171-01",0.8531
"cg08542865","TCGA-J4-8198-01",0.7073
"cg08542865","TCGA-J4-8200-01",0.6192
"cg08542865","TCGA-J4-A67K-01",0.6448
"cg08542865","TCGA-J4-A67L-01",0.6349
"cg08542865","TCGA-J4-A67M-01",0.5348
"cg08542865","TCGA-J4-A67N-01",0.7869
"cg08542865","TCGA-J4-A67O-01",0.5023
"cg08542865","TCGA-J4-A67Q-01",0.6184
"cg08542865","TCGA-J4-A67R-01",0.5655
"cg08542865","TCGA-J4-A67S-01",0.6518
"cg08542865","TCGA-J4-A67T-01",0.6819
"cg08542865","TCGA-J4-A6G1-01",0.2977
"cg08542865","TCGA-J4-A6G3-01",0.3739
"cg08542865","TCGA-J4-A6M7-01",0.813
"cg08542865","TCGA-J4-A83I-01",0.7158
"cg08542865","TCGA-J4-A83J-01",0.7016
"cg08542865","TCGA-J4-A83K-01",0.6939
"cg08542865","TCGA-J4-A83L-01",0.6372
"cg08542865","TCGA-J4-A83M-01",0.7736
"cg08542865","TCGA-J4-A83N-01",0.7659
"cg08542865","TCGA-J4-AATV-01",0.4541
"cg08542865","TCGA-J4-AATZ-01",0.7887
"cg08542865","TCGA-J4-AAU2-01",0.8562
"cg08542865","TCGA-J9-A52B-01",0.6665
"cg08542865","TCGA-J9-A52C-01",0.4115
"cg08542865","TCGA-J9-A52D-01",0.9587
"cg08542865","TCGA-J9-A52E-01",0.6701
"cg08542865","TCGA-J9-A8CK-01",0.4511
"cg08542865","TCGA-J9-A8CL-01",0.733
"cg08542865","TCGA-J9-A8CM-01",0.6838
"cg08542865","TCGA-J9-A8CN-01",0.8857
"cg08542865","TCGA-J9-A8CP-01",0.6496
"cg08542865","TCGA-KC-A4BL-01",0.3608
"cg08542865","TCGA-KC-A4BN-01",0.6108
"cg08542865","TCGA-KC-A4BO-01",0.0468
"cg08542865","TCGA-KC-A4BR-01",0.1703
"cg08542865","TCGA-KC-A4BV-01",0.723
"cg08542865","TCGA-KC-A7F3-01",0.6418
"cg08542865","TCGA-KC-A7F5-01",0.9617
"cg08542865","TCGA-KC-A7F6-01",0.7101
"cg08542865","TCGA-KC-A7FA-01",0.4358
"cg08542865","TCGA-KC-A7FD-01",0.7927
"cg08542865","TCGA-KC-A7FE-01",0.4132
"cg08542865","TCGA-KK-A59V-01",0.6093
"cg08542865","TCGA-KK-A59X-01",0.8836
"cg08542865","TCGA-KK-A59Y-01",0.8479
"cg08542865","TCGA-KK-A59Z-01",0.9037
"cg08542865","TCGA-KK-A5A1-01",0.9262
"cg08542865","TCGA-KK-A6DY-01",0.7223
"cg08542865","TCGA-KK-A6E0-01",0.7971
"cg08542865","TCGA-KK-A6E1-01",0.8624
"cg08542865","TCGA-KK-A6E2-01",0.8863
"cg08542865","TCGA-KK-A6E3-01",0.7376
"cg08542865","TCGA-KK-A6E4-01",0.8441
"cg08542865","TCGA-KK-A6E5-01",0.8021
"cg08542865","TCGA-KK-A6E6-01",0.7097
"cg08542865","TCGA-KK-A6E7-01",0.6587
"cg08542865","TCGA-KK-A6E8-01",0.9003
"cg08542865","TCGA-KK-A7AP-01",0.836
"cg08542865","TCGA-KK-A7AQ-01",0.7963
"cg08542865","TCGA-KK-A7AU-01",0.8338
"cg08542865","TCGA-KK-A7AV-01",0.5838
"cg08542865","TCGA-KK-A7AW-01",0.6502
"cg08542865","TCGA-KK-A7AY-01",0.7326
"cg08542865","TCGA-KK-A7AZ-01",0.2949
"cg08542865","TCGA-KK-A7B0-01",0.4002
"cg08542865","TCGA-KK-A7B1-01",0.5432
"cg08542865","TCGA-KK-A7B2-01",0.3592
"cg08542865","TCGA-KK-A7B3-01",0.6802
"cg08542865","TCGA-KK-A7B4-01",0.7508
"cg08542865","TCGA-KK-A8I4-01",0.338
"cg08542865","TCGA-KK-A8I5-01",0.7573
"cg08542865","TCGA-KK-A8I6-01",0.5451
"cg08542865","TCGA-KK-A8I7-01",0.2582
"cg08542865","TCGA-KK-A8I8-01",0.6667
"cg08542865","TCGA-KK-A8I9-01",0.5325
"cg08542865","TCGA-KK-A8IA-01",0.8051
"cg08542865","TCGA-KK-A8IB-01",0.4344
"cg08542865","TCGA-KK-A8IC-01",0.2961
"cg08542865","TCGA-KK-A8ID-01",0.7745
"cg08542865","TCGA-KK-A8IF-01",0.9287
"cg08542865","TCGA-KK-A8IG-01",0.5835
"cg08542865","TCGA-KK-A8IH-01",0.6857
"cg08542865","TCGA-KK-A8II-01",0.9025
"cg08542865","TCGA-KK-A8IJ-01",0.6975
"cg08542865","TCGA-KK-A8IK-01",0.0394
"cg08542865","TCGA-KK-A8IL-01",0.6287
"cg08542865","TCGA-KK-A8IM-01",0.3523
"cg08542865","TCGA-M7-A71Y-01",0.3035
"cg08542865","TCGA-M7-A71Z-01",0.8987
"cg08542865","TCGA-M7-A720-01",0.2383
"cg08542865","TCGA-M7-A721-01",0.6434
"cg08542865","TCGA-M7-A722-01",0.7345
"cg08542865","TCGA-M7-A723-01",0.6775
"cg08542865","TCGA-M7-A724-01",0.9483
"cg08542865","TCGA-M7-A725-01",0.8517
"cg08542865","TCGA-MG-AAMC-01",0.8758
"cg08542865","TCGA-QU-A6IL-01",0.8534
"cg08542865","TCGA-QU-A6IM-01",0.6215
"cg08542865","TCGA-QU-A6IN-01",0.8633
"cg08542865","TCGA-QU-A6IO-01",0.6633
"cg08542865","TCGA-QU-A6IP-01",0.5889
"cg08542865","TCGA-SU-A7E7-01",0.4767
"cg08542865","TCGA-TK-A8OK-01",0.4752
"cg08542865","TCGA-TP-A8TT-01",0.5427
"cg08542865","TCGA-TP-A8TV-01",0.9331
"cg08542865","TCGA-V1-A8MF-01",0.3153
"cg08542865","TCGA-V1-A8MG-01",0.5515
"cg08542865","TCGA-V1-A8MJ-01",0.3872
"cg08542865","TCGA-V1-A8MK-01",0.4038
"cg08542865","TCGA-V1-A8ML-01",0.6225
"cg08542865","TCGA-V1-A8MM-01",0.6777
"cg08542865","TCGA-V1-A8MU-01",0.5406
"cg08542865","TCGA-V1-A8WL-01",0.6289
"cg08542865","TCGA-V1-A8WN-01",0.4239
"cg08542865","TCGA-V1-A8WS-01",0.7035
"cg08542865","TCGA-V1-A8WV-01",0.0736
"cg08542865","TCGA-V1-A8WW-01",0.7932
"cg08542865","TCGA-V1-A8X3-01",0.5837
"cg08542865","TCGA-V1-A9O5-01",0.4866
"cg08542865","TCGA-V1-A9O7-01",0.4661
"cg08542865","TCGA-V1-A9O9-01",0.4918
"cg08542865","TCGA-V1-A9OA-01",0.523
"cg08542865","TCGA-V1-A9OF-01",0.8731
"cg08542865","TCGA-V1-A9OH-01",0.4894
"cg08542865","TCGA-V1-A9OL-01",0.6718
"cg08542865","TCGA-V1-A9OQ-01",0.7852
"cg08542865","TCGA-V1-A9OT-01",0.7544
"cg08542865","TCGA-V1-A9OX-01",0.5818
"cg08542865","TCGA-V1-A9OY-01",0.5363
"cg08542865","TCGA-V1-A9Z7-01",0.5514
"cg08542865","TCGA-V1-A9Z8-01",0.5613
"cg08542865","TCGA-V1-A9Z9-01",0.6785
"cg08542865","TCGA-V1-A9ZG-01",0.374
"cg08542865","TCGA-V1-A9ZI-01",0.4791
"cg08542865","TCGA-V1-A9ZK-01",0.5451
"cg08542865","TCGA-V1-A9ZR-01",0.4796
"cg08542865","TCGA-VN-A88I-01",0.2575
"cg08542865","TCGA-VN-A88K-01",0.7943
"cg08542865","TCGA-VN-A88L-01",0.634
"cg08542865","TCGA-VN-A88M-01",0.7911
"cg08542865","TCGA-VN-A88N-01",0.4899
"cg08542865","TCGA-VN-A88O-01",0.8008
"cg08542865","TCGA-VN-A88P-01",0.8187
"cg08542865","TCGA-VN-A88Q-01",0.6722
"cg08542865","TCGA-VN-A88R-01",0.6513
"cg08542865","TCGA-VN-A943-01",0.9421
"cg08542865","TCGA-VP-A872-01",0.5744
"cg08542865","TCGA-VP-A875-01",0.957
"cg08542865","TCGA-VP-A876-01",0.7222
"cg08542865","TCGA-VP-A878-01",0.5109
"cg08542865","TCGA-VP-A879-01",0.6123
"cg08542865","TCGA-VP-A87B-01",0.9395
"cg08542865","TCGA-VP-A87C-01",0.3059
"cg08542865","TCGA-VP-A87D-01",0.4728
"cg08542865","TCGA-VP-A87E-01",0.5551
"cg08542865","TCGA-VP-A87H-01",0.5843
"cg08542865","TCGA-VP-A87J-01",0.8004
"cg08542865","TCGA-VP-A87K-01",0.8801
"cg08542865","TCGA-VP-AA1N-01",0.7164
"cg08542865","TCGA-WW-A8ZI-01",0.882
"cg08542865","TCGA-X4-A8KQ-01",0.4148
"cg08542865","TCGA-X4-A8KS-01",0.3184
"cg08542865","TCGA-XA-A8JR-01",0.6097
"cg08542865","TCGA-XJ-A83F-01",0.8142
"cg08542865","TCGA-XJ-A83G-01",0.8378
"cg08542865","TCGA-XJ-A83H-01",0.6452
"cg08542865","TCGA-XJ-A9DI-01",0.2388
"cg08542865","TCGA-XJ-A9DK-01",0.1859
"cg08542865","TCGA-XJ-A9DQ-01",0.2785
"cg08542865","TCGA-XJ-A9DX-01",0.7344
"cg08542865","TCGA-XK-AAIR-01",0.3957
"cg08542865","TCGA-XK-AAIV-01",0.0748
"cg08542865","TCGA-XK-AAIW-01",0.7991
"cg08542865","TCGA-XK-AAJ3-01",0.746
"cg08542865","TCGA-XK-AAJA-01",0.7465
"cg08542865","TCGA-XK-AAJP-01",0.8164
"cg08542865","TCGA-XK-AAJR-01",0.5273
"cg08542865","TCGA-XK-AAJT-01",0.6985
"cg08542865","TCGA-XK-AAJU-01",0.1671
"cg08542865","TCGA-XK-AAK1-01",0.7715
"cg08542865","TCGA-XQ-A8TA-01",0.8907
"cg08542865","TCGA-XQ-A8TB-01",0.499
"cg08542865","TCGA-Y6-A8TL-01",0.6322
"cg08542865","TCGA-Y6-A9XI-01",0.5791
"cg08542865","TCGA-YJ-A8SW-01",0.7947
"cg08542865","TCGA-YL-A8HJ-01",0.4666
"cg08542865","TCGA-YL-A8HK-01",0.3742
"cg08542865","TCGA-YL-A8HL-01",0.7168
"cg08542865","TCGA-YL-A8HM-01",0.6677
"cg08542865","TCGA-YL-A8HO-01",0.5091
"cg08542865","TCGA-YL-A8S8-01",0.593
"cg08542865","TCGA-YL-A8S9-01",0.9585
"cg08542865","TCGA-YL-A8SA-01",0.8229
"cg08542865","TCGA-YL-A8SB-01",0.7208
"cg08542865","TCGA-YL-A8SC-01",0.6361
"cg08542865","TCGA-YL-A8SF-01",0.63
"cg08542865","TCGA-YL-A8SH-01",0.6585
"cg08542865","TCGA-YL-A8SI-01",0.584
"cg08542865","TCGA-YL-A8SJ-01",0.6275
"cg08542865","TCGA-YL-A8SK-01",0.5244
"cg08542865","TCGA-YL-A8SL-01",0.717
"cg08542865","TCGA-YL-A8SO-01",0.6638
"cg08542865","TCGA-YL-A8SP-01",0.8834
"cg08542865","TCGA-YL-A8SQ-01",0.751
"cg08542865","TCGA-YL-A8SR-01",0.6146
"cg08542865","TCGA-YL-A9WH-01",0.7086
"cg08542865","TCGA-YL-A9WI-01",0.8418
"cg08542865","TCGA-YL-A9WJ-01",0.4553
"cg08542865","TCGA-YL-A9WK-01",0.5094
"cg08542865","TCGA-YL-A9WL-01",0.9392
"cg08542865","TCGA-YL-A9WX-01",0.3466
"cg08542865","TCGA-YL-A9WY-01",0.4656
"cg08542865","TCGA-ZG-A8QW-01",0.3883
"cg08542865","TCGA-ZG-A8QX-01",0.5596
"cg08542865","TCGA-ZG-A8QY-01",0.5813
"cg08542865","TCGA-ZG-A8QZ-01",0.4519
"cg08542865","TCGA-ZG-A9KY-01",0.6996
"cg08542865","TCGA-ZG-A9L0-01",0.6752
"cg08542865","TCGA-ZG-A9L1-01",0.812
"cg08542865","TCGA-ZG-A9L2-01",0.4256
"cg08542865","TCGA-ZG-A9L4-01",0.4915
"cg08542865","TCGA-ZG-A9L5-01",0.8468
"cg08542865","TCGA-ZG-A9L6-01",0.6806
"cg08542865","TCGA-ZG-A9L9-01",0.4169
"cg08542865","TCGA-ZG-A9LB-01",0.6929
"cg08542865","TCGA-ZG-A9LM-01",0.6703
"cg08542865","TCGA-ZG-A9LN-01",0.2856
"cg08542865","TCGA-ZG-A9LS-01",0.4777
"cg08542865","TCGA-ZG-A9LU-01",0.3344
"cg08542865","TCGA-ZG-A9LY-01",0.4676
"cg08542865","TCGA-ZG-A9LZ-01",0.7403
"cg08542865","TCGA-ZG-A9M4-01",0.6922
"cg08542865","TCGA-ZG-A9MC-01",0.423
"cg08542865","TCGA-ZG-A9N3-01",0.2354
"cg08542865","TCGA-ZG-A9ND-01",0.7728
"cg08542865","TCGA-ZG-A9NI-01",0.6793
"cg15199326","TCGA-2A-A8VL-01",0.5335
"cg15199326","TCGA-2A-A8VO-01",0.6121
"cg15199326","TCGA-2A-A8VT-01",0.6243
"cg15199326","TCGA-2A-A8VV-01",0.74
"cg15199326","TCGA-2A-A8VX-01",0.8364
"cg15199326","TCGA-2A-A8W1-01",0.6502
"cg15199326","TCGA-2A-A8W3-01",0.5199
"cg15199326","TCGA-2A-AAYF-01",0.4649
"cg15199326","TCGA-2A-AAYO-01",0.5849
"cg15199326","TCGA-2A-AAYU-01",0.5052
"cg15199326","TCGA-4L-AA1F-01",0.4028
"cg15199326","TCGA-CH-5737-01",0.79
"cg15199326","TCGA-CH-5738-01",0.5134
"cg15199326","TCGA-CH-5739-01",0.6719
"cg15199326","TCGA-CH-5740-01",0.636
"cg15199326","TCGA-CH-5741-01",0.7354
"cg15199326","TCGA-CH-5743-01",0.1039
"cg15199326","TCGA-CH-5744-01",0.5979
"cg15199326","TCGA-CH-5745-01",0.5708
"cg15199326","TCGA-CH-5746-01",0.4053
"cg15199326","TCGA-CH-5748-01",0.4514
"cg15199326","TCGA-CH-5750-01",0.6409
"cg15199326","TCGA-CH-5751-01",0.5427
"cg15199326","TCGA-CH-5752-01",0.6743
"cg15199326","TCGA-CH-5753-01",0.6814
"cg15199326","TCGA-CH-5754-01",0.4863
"cg15199326","TCGA-CH-5761-01",0.7012
"cg15199326","TCGA-CH-5762-01",0.4917
"cg15199326","TCGA-CH-5763-01",0.2577
"cg15199326","TCGA-CH-5764-01",0.5788
"cg15199326","TCGA-CH-5765-01",0.6824
"cg15199326","TCGA-CH-5766-01",0.5437
"cg15199326","TCGA-CH-5767-01",0.7455
"cg15199326","TCGA-CH-5768-01",0.6373
"cg15199326","TCGA-CH-5769-01",0.5929
"cg15199326","TCGA-CH-5771-01",0.3681
"cg15199326","TCGA-CH-5772-01",0.5789
"cg15199326","TCGA-CH-5788-01",0.8088
"cg15199326","TCGA-CH-5789-01",0.1919
"cg15199326","TCGA-CH-5790-01",0.6564
"cg15199326","TCGA-CH-5791-01",0.6604
"cg15199326","TCGA-CH-5792-01",0.4648
"cg15199326","TCGA-CH-5794-01",0.6046
"cg15199326","TCGA-EJ-5494-01",0.549
"cg15199326","TCGA-EJ-5495-01",0.456
"cg15199326","TCGA-EJ-5496-01",0.5528
"cg15199326","TCGA-EJ-5497-01",0.4836
"cg15199326","TCGA-EJ-5498-01",0.2781
"cg15199326","TCGA-EJ-5499-01",0.4971
"cg15199326","TCGA-EJ-5501-01",0.4673
"cg15199326","TCGA-EJ-5502-01",0.4087
"cg15199326","TCGA-EJ-5503-01",0.2256
"cg15199326","TCGA-EJ-5504-01",0.5806
"cg15199326","TCGA-EJ-5505-01",0.5632
"cg15199326","TCGA-EJ-5506-01",0.2934
"cg15199326","TCGA-EJ-5507-01",0.4939
"cg15199326","TCGA-EJ-5508-01",0.495
"cg15199326","TCGA-EJ-5509-01",0.501
"cg15199326","TCGA-EJ-5510-01",0.4484
"cg15199326","TCGA-EJ-5511-01",0.699
"cg15199326","TCGA-EJ-5512-01",0.3708
"cg15199326","TCGA-EJ-5514-01",0.6139
"cg15199326","TCGA-EJ-5515-01",0.2655
"cg15199326","TCGA-EJ-5516-01",0.3595
"cg15199326","TCGA-EJ-5517-01",0.5971
"cg15199326","TCGA-EJ-5518-01",0.5949
"cg15199326","TCGA-EJ-5519-01",0.6452
"cg15199326","TCGA-EJ-5521-01",0.5955
"cg15199326","TCGA-EJ-5522-01",0.4402
"cg15199326","TCGA-EJ-5524-01",0.5164
"cg15199326","TCGA-EJ-5525-01",0.74
"cg15199326","TCGA-EJ-5526-01",0.5371
"cg15199326","TCGA-EJ-5527-01",0.4925
"cg15199326","TCGA-EJ-5530-01",0.6568
"cg15199326","TCGA-EJ-5531-01",0.3938
"cg15199326","TCGA-EJ-5532-01",0.6434
"cg15199326","TCGA-EJ-5542-01",0.5795
"cg15199326","TCGA-EJ-7115-01",0.6034
"cg15199326","TCGA-EJ-7123-01",0.6592
"cg15199326","TCGA-EJ-7125-01",0.5741
"cg15199326","TCGA-EJ-7218-01",0.4291
"cg15199326","TCGA-EJ-7312-01",0.7227
"cg15199326","TCGA-EJ-7314-01",0.5392
"cg15199326","TCGA-EJ-7315-01",0.63
"cg15199326","TCGA-EJ-7317-01",0.5388
"cg15199326","TCGA-EJ-7318-01",0.572
"cg15199326","TCGA-EJ-7321-01",0.6071
"cg15199326","TCGA-EJ-7325-01",0.6267
"cg15199326","TCGA-EJ-7327-01",0.6388
"cg15199326","TCGA-EJ-7328-01",0.4747
"cg15199326","TCGA-EJ-7330-01",0.412
"cg15199326","TCGA-EJ-7331-01",0.5783
"cg15199326","TCGA-EJ-7781-01",0.4005
"cg15199326","TCGA-EJ-7782-01",0.6741
"cg15199326","TCGA-EJ-7783-01",0.4739
"cg15199326","TCGA-EJ-7784-01",0.7819
"cg15199326","TCGA-EJ-7785-01",0.4368
"cg15199326","TCGA-EJ-7786-01",0.4866
"cg15199326","TCGA-EJ-7788-01",0.6776
"cg15199326","TCGA-EJ-7789-01",0.8172
"cg15199326","TCGA-EJ-7791-01",0.3729
"cg15199326","TCGA-EJ-7792-01",0.2927
"cg15199326","TCGA-EJ-7793-01",0.3991
"cg15199326","TCGA-EJ-7794-01",0.476
"cg15199326","TCGA-EJ-7797-01",0.4818
"cg15199326","TCGA-EJ-8468-01",0.6276
"cg15199326","TCGA-EJ-8469-01",0.7084
"cg15199326","TCGA-EJ-8470-01",0.5376
"cg15199326","TCGA-EJ-8472-01",0.7299
"cg15199326","TCGA-EJ-8474-01",0.7217
"cg15199326","TCGA-EJ-A46B-01",0.3075
"cg15199326","TCGA-EJ-A46D-01",0.2683
"cg15199326","TCGA-EJ-A46E-01",0.1954
"cg15199326","TCGA-EJ-A46F-01",0.807
"cg15199326","TCGA-EJ-A46G-01",0.699
"cg15199326","TCGA-EJ-A46H-01",0.0745
"cg15199326","TCGA-EJ-A46I-01",0.4417
"cg15199326","TCGA-EJ-A65B-01",0.5121
"cg15199326","TCGA-EJ-A65D-01",0.8676
"cg15199326","TCGA-EJ-A65E-01",0.5712
"cg15199326","TCGA-EJ-A65F-01",0.7247
"cg15199326","TCGA-EJ-A65G-01",0.465
"cg15199326","TCGA-EJ-A65J-01",0.6527
"cg15199326","TCGA-EJ-A65M-01",0.6113
"cg15199326","TCGA-EJ-A6RA-01",0.3676
"cg15199326","TCGA-EJ-A6RC-01",0.465
"cg15199326","TCGA-EJ-A7NF-01",0.6864
"cg15199326","TCGA-EJ-A7NG-01",0.1379
"cg15199326","TCGA-EJ-A7NH-01",0.4014
"cg15199326","TCGA-EJ-A7NJ-01",0.2544
"cg15199326","TCGA-EJ-A7NK-01",0.2501
"cg15199326","TCGA-EJ-A7NM-01",0.5491
"cg15199326","TCGA-EJ-A7NN-01",0.406
"cg15199326","TCGA-EJ-A8FN-01",0.5337
"cg15199326","TCGA-EJ-A8FO-01",0.2921
"cg15199326","TCGA-EJ-A8FP-01",0.1639
"cg15199326","TCGA-EJ-A8FS-01",0.7295
"cg15199326","TCGA-EJ-A8FU-01",0.2479
"cg15199326","TCGA-EJ-AB20-01",0.3906
"cg15199326","TCGA-EJ-AB27-01",0.3525
"cg15199326","TCGA-FC-7708-01",0.4696
"cg15199326","TCGA-FC-7961-01",0.5708
"cg15199326","TCGA-FC-A4JI-01",0.0815
"cg15199326","TCGA-FC-A5OB-01",0.6277
"cg15199326","TCGA-FC-A66V-01",0.1293
"cg15199326","TCGA-FC-A6HD-01",0.7282
"cg15199326","TCGA-FC-A8O0-01",0.1138
"cg15199326","TCGA-G9-6329-01",0.4628
"cg15199326","TCGA-G9-6332-01",0.733
"cg15199326","TCGA-G9-6333-01",0.5583
"cg15199326","TCGA-G9-6336-01",0.4409
"cg15199326","TCGA-G9-6338-01",0.7031
"cg15199326","TCGA-G9-6339-01",0.6055
"cg15199326","TCGA-G9-6342-01",0.5713
"cg15199326","TCGA-G9-6343-01",0.4094
"cg15199326","TCGA-G9-6347-01",0.4335
"cg15199326","TCGA-G9-6348-01",0.4582
"cg15199326","TCGA-G9-6351-01",0.4952
"cg15199326","TCGA-G9-6353-01",0.3808
"cg15199326","TCGA-G9-6354-01",0.5434
"cg15199326","TCGA-G9-6356-01",0.4708
"cg15199326","TCGA-G9-6361-01",0.719
"cg15199326","TCGA-G9-6362-01",0.7014
"cg15199326","TCGA-G9-6363-01",0.5643
"cg15199326","TCGA-G9-6364-01",0.4166
"cg15199326","TCGA-G9-6365-01",0.5386
"cg15199326","TCGA-G9-6366-01",0.5226
"cg15199326","TCGA-G9-6367-01",0.2052
"cg15199326","TCGA-G9-6369-01",0.7895
"cg15199326","TCGA-G9-6370-01",0.2185
"cg15199326","TCGA-G9-6371-01",0.6332
"cg15199326","TCGA-G9-6373-01",0.6555
"cg15199326","TCGA-G9-6377-01",0.6611
"cg15199326","TCGA-G9-6378-01",0.3485
"cg15199326","TCGA-G9-6379-01",0.4956
"cg15199326","TCGA-G9-6384-01",0.5344
"cg15199326","TCGA-G9-6385-01",0.3244
"cg15199326","TCGA-G9-6494-01",0.4856
"cg15199326","TCGA-G9-6496-01",0.7297
"cg15199326","TCGA-G9-6498-01",0.5775
"cg15199326","TCGA-G9-6499-01",0.4358
"cg15199326","TCGA-G9-7509-01",0.4946
"cg15199326","TCGA-G9-7510-01",0.5009
"cg15199326","TCGA-G9-7519-01",0.4265
"cg15199326","TCGA-G9-7521-01",0.6234
"cg15199326","TCGA-G9-7522-01",0.4522
"cg15199326","TCGA-G9-7523-01",0.4381
"cg15199326","TCGA-G9-7525-01",0.7198
"cg15199326","TCGA-G9-A9S0-01",0.5012
"cg15199326","TCGA-G9-A9S4-01",0.6628
"cg15199326","TCGA-G9-A9S7-01",0.4219
"cg15199326","TCGA-H9-7775-01",0.729
"cg15199326","TCGA-H9-A6BX-01",0.2108
"cg15199326","TCGA-H9-A6BY-01",0.6817
"cg15199326","TCGA-HC-7075-01",0.7774
"cg15199326","TCGA-HC-7077-01",0.844
"cg15199326","TCGA-HC-7078-01",0.6914
"cg15199326","TCGA-HC-7079-01",0.2154
"cg15199326","TCGA-HC-7080-01",0.8509
"cg15199326","TCGA-HC-7081-01",0.6289
"cg15199326","TCGA-HC-7209-01",0.5788
"cg15199326","TCGA-HC-7210-01",0.5267
"cg15199326","TCGA-HC-7211-01",0.6681
"cg15199326","TCGA-HC-7212-01",0.7553
"cg15199326","TCGA-HC-7213-01",0.6743
"cg15199326","TCGA-HC-7230-01",0.7765
"cg15199326","TCGA-HC-7231-01",0.6917
"cg15199326","TCGA-HC-7232-01",0.6204
"cg15199326","TCGA-HC-7233-01",0.4479
"cg15199326","TCGA-HC-7736-01",0.6049
"cg15199326","TCGA-HC-7737-01",0.4312
"cg15199326","TCGA-HC-7738-01",0.5779
"cg15199326","TCGA-HC-7740-01",0.41835
"cg15199326","TCGA-HC-7742-01",0.3717
"cg15199326","TCGA-HC-7744-01",0.7481
"cg15199326","TCGA-HC-7745-01",0.4557
"cg15199326","TCGA-HC-7747-01",0.2401
"cg15199326","TCGA-HC-7748-01",0.5459
"cg15199326","TCGA-HC-7749-01",0.6299
"cg15199326","TCGA-HC-7750-01",0.3423
"cg15199326","TCGA-HC-7752-01",0.826
"cg15199326","TCGA-HC-7817-01",0.3006
"cg15199326","TCGA-HC-7818-01",0.545
"cg15199326","TCGA-HC-7819-01",0.7039
"cg15199326","TCGA-HC-7820-01",0.5496
"cg15199326","TCGA-HC-7821-01",0.7506
"cg15199326","TCGA-HC-8213-01",0.7114
"cg15199326","TCGA-HC-8216-01",0.5749
"cg15199326","TCGA-HC-8256-01",0.6186
"cg15199326","TCGA-HC-8257-01",0.6117
"cg15199326","TCGA-HC-8258-01",0.3721
"cg15199326","TCGA-HC-8259-01",0.5224
"cg15199326","TCGA-HC-8260-01",0.358
"cg15199326","TCGA-HC-8261-01",0.515
"cg15199326","TCGA-HC-8262-01",0.6325
"cg15199326","TCGA-HC-8264-01",0.6778
"cg15199326","TCGA-HC-8265-01",0.5256
